"̴r";"Befolkning 1. januar"
"1769";739180
"1770";745183
"1771";750811
"1772";753835
"1773";744813
"1774";736347
"1775";740605
"1776";747275
"1777";754040
"1778";761668
"1779";767005
"1780";770747
"1781";776842
"1782";783433
"1783";787121
"1784";790144
"1785";790325
"1786";790390
"1787";794715
"1788";798418
"1789";799629
"1790";802666
"1791";809477
"1792";816914
"1793";825362
"1794";834803
"1795";843458
"1796";851048
"1797";858936
"1798";866771
"1799";875279
"1800";881499
"1801";882951
"1802";883284
"1803";885102
"1804";887760
"1805";892721
"1806";900193
"1807";906734
"1808";909830
"1809";903529
"1810";896479
"1811";896566
"1812";900332
"1813";901580
"1814";899999
"1815";904777
"1816";911996
"1817";926488
"1818";940301
"1819";951387
"1820";963065
"1821";977034
"1822";991073
"1823";1004521
"1824";1020938
"1825";1035345
"1826";1053000
"1827";1070784
"1828";1086318
"1829";1100255
"1830";1116466
"1831";1131000
"1832";1143834
"1833";1157091
"1834";1169264
"1835";1180259
"1836";1196000
"1837";1208808
"1838";1219007
"1839";1229319
"1840";1235924
"1841";1246355
"1842";1262454
"1843";1278739
"1844";1293646
"1845";1309898
"1846";1328471
"1847";1344984
"1848";1357678
"1849";1369089
"1850";1384149
"1851";1399733
"1852";1418073
"1853";1432870
"1854";1446641
"1855";1467398
"1856";1490047
"1857";1511175
"1858";1530312
"1859";1556076
"1860";1583525
"1861";1608653
"1862";1619102
"1863";1634869
"1864";1657997
"1865";1678510
"1866";1701756
"1867";1712787
"1868";1720933
"1869";1729242
"1870";1732655
"1871";1741162
"1872";1751544
"1873";1762313
"1874";1776528
"1875";1796752
"1876";1818853
"1877";1838858
"1878";1864285
"1879";1889385
"1880";1914867
"1881";1923283
"1882";1922613
"1883";1916921
"1884";1921712
"1885";1936404
"1886";1951429
"1887";1965217
"1888";1974396
"1889";1978834
"1890";1989756
"1891";2004102
"1892";2020905
"1893";2031127
"1894";2044466
"1895";2068848
"1896";2097328
"1897";2126024
"1898";2157418
"1899";2190196
"1900";2217971
"1901";2242995
"1902";2266827
"1903";2284143
"1904";2291392
"1905";2303595
"1906";2313549
"1907";2324832
"1908";2333092
"1909";2358036
"1910";2376952
"1911";2390402
"1912";2411190
"1913";2435178
"1914";2458569
"1915";2486269
"1916";2509263
"1917";2535092
"1918";2565994
"1919";2589463
"1920";2616274
"1921";2653054
"1922";2682680
"1923";2707000
"1924";2719233
"1925";2738298
"1926";2755331
"1927";2770880
"1928";2778851
"1929";2790497
"1930";2799713
"1931";2815164
"1932";2832599
"1933";2850457
"1934";2866229
"1935";2882182
"1936";2896239
"1937";2910798
"1938";2926686
"1939";2944920
"1940";2963909
"1941";2982224
"1942";2998244
"1943";3019521
"1944";3045337
"1945";3075084
"1946";3107269
"1947";3146497
"1948";3183525
"1949";3218499
"1950";3249954
"1951";3280296
"1952";3311446
"1953";3344010
"1954";3377766
"1955";3410726
"1956";3445673
"1957";3475890
"1958";3507986
"1959";3538001
"1960";3567707
"1961";3594771
"1962";3624829
"1963";3653006
"1964";3680068
"1965";3708609
"1966";3737726
"1967";3768298
"1968";3800780
"1969";3832192
"1970";3863221
"1971";3888305
"1972";3917773
"1973";3948235
"1974";3972990
"1975";3997525
"1976";4017101
"1977";4035202
"1978";4051208
"1979";4066134
"1980";4078900
"1981";4092340
"1982";4107063
"1983";4122511
"1984";4134353
"1985";4145845
"1986";4159187
"1987";4175521
"1988";4198289
"1989";4220686
"1990";4233116
"1991";4249830
"1992";4273634
"1993";4299167
"1994";4324815
"1995";4348410
"1996";4369957
"1997";4392714
"1998";4417599
"1999";4445329
"2000";4478497
"2001";4503436
"2002";4524066
"2003";4552252
"2004";4577457
"2005";4606363
"2006";4640219
"2007";4681134
"2008";4737171
"2009";4799252
"2010";4858199
"2011";4920305
"2012";4985870
"2013";5051275
"2014";5109056
"2015";5165802
"2016";5213985
"2017";5258317
"2018";5295619
"2019";5328212
"2020";5367580
"2021";5391369
"2022";5425270
